City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Green River,US,54.0,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
372,Teluknaga,ID,83.62,scattered clouds,-6.0989,106.6381,Bale Ocasa hotel
376,Ugoofaaru,MV,82.9,broken clouds,5.6667,73.0,Ungoofaaru Inn
377,Benjamin Aceval,PY,75.34,broken clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
378,Yarada,IN,80.92,mist,17.65,83.2667,Jeevan
379,Bathsheba,BB,81.81,overcast clouds,13.2167,-59.5167,Atlantis Hotel
380,Hamilton,US,77.09,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
381,Boa Vista,BR,76.3,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
382,Kiri Buru,IN,69.71,scattered clouds,22.0833,85.35,Lucky India
384,Olhao,PT,67.89,clear sky,37.0286,-7.8411,Real Marina Residence
385,Fukue,JP,78.85,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
386,Codrington,AU,53.31,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
388,Utete,TZ,71.65,overcast clouds,-7.986,38.758,River View Lodge
389,Mpika,ZM,65.41,scattered clouds,-11.8343,31.4529,Melodies Lodge
391,Gambela,ET,71.35,light rain,8.25,34.5833,Solomon Debebe Hotel
393,Puerto Quijarro,BO,86.79,moderate rain,-17.7833,-57.7667,Hotel palance
394,Umm Kaddadah,SD,90.37,overcast clouds,13.6017,26.6876,
395,Faya,SA,63.12,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
397,Hatsukaichi,JP,79.57,few clouds,34.35,132.3333,Guesthouse KICHI Miyajima base
398,Mlowo,TZ,60.67,scattered clouds,-9.0,32.9833,Mchacho Drinks & Guest house
399,Tateyama,JP,81.14,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
400,Altamont,US,56.77,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
401,Salina Cruz,MX,83.16,clear sky,16.1667,-95.2,Amerik HOTEL
402,Paidha,UG,62.96,light rain,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
403,Ambon,ID,84.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
404,Robertsport,LR,78.98,moderate rain,6.7533,-11.3686,Kwepunha Retreat
405,Liverpool,GB,55.81,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
406,Erzin,TR,72.0,clear sky,36.9559,36.2,Artemis Otel
407,Eyl,SO,78.62,broken clouds,7.9803,49.8164,Amiin Hotel
410,Antalaha,MG,64.18,few clouds,-14.9003,50.2788,Hotel Vitasoa
411,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
413,Arkhangelsk,RU,50.11,light rain,64.5401,40.5433,DVINA HOTEL
414,Grand-Santi,GF,79.95,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
415,Nuevo Imperial,PE,63.63,broken clouds,-13.0754,-76.3172,Hotel Konford
417,Isangel,VU,78.49,clear sky,-19.55,169.2667,Tanna Lodge
418,Ukiah,US,82.13,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
419,Kawalu,ID,74.68,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
420,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
421,Keti Bandar,PK,79.5,clear sky,24.1447,67.4497,Haji laloo memon house
422,Marsh Harbour,BS,82.65,few clouds,26.5412,-77.0636,Abaco Beach Resort
425,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
426,Bull Savanna,JM,77.58,scattered clouds,17.8868,-77.5902,Big Red's
429,Gadwal,IN,75.61,overcast clouds,16.2333,77.8,MS RESIDENCY
431,Fomboni,KM,76.46,scattered clouds,-12.28,43.7425,Auberge les abou
432,Gorele,TR,62.04,clear sky,41.0308,39.0031,Görele Öğretmenevi
434,Esperance,AU,63.19,overcast clouds,-33.8667,121.9,Hospitality Esperance
435,Trinidad,BO,89.87,broken clouds,-14.8333,-64.9,Hotel Piesta
436,Vallenar,CL,65.1,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
437,Colac,AU,55.62,broken clouds,-38.3333,143.5833,Otway Gate Motel
438,Pokhara,NP,65.95,few clouds,28.2333,83.9833,Butterfly Lodge
440,Venice,US,81.0,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
441,Puerto Leguizamo,CO,74.75,broken clouds,-0.1934,-74.7819,la casona de juancho
443,Chapleau,CA,62.2,overcast clouds,47.8405,-83.4034,Ride the North
444,Trairi,BR,79.43,clear sky,-3.2778,-39.2689,janelas do mar
445,Magaria,NE,83.1,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
447,Ransang,PH,79.63,heavy intensity rain,8.9603,117.5828,Black and Crystal Sand Campsite
448,Celestun,MX,82.92,scattered clouds,20.8667,-90.4,Posada Lilia
449,Lar,IN,72.86,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
450,Ambunti,PG,81.19,overcast clouds,-4.2365,142.8448,Ambunti Lodge
453,Qurayyat,SA,74.57,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
454,Toppenish,US,62.85,few clouds,46.3774,-120.3087,Quality Inn & Suites Toppenish - Yakima Valley
456,Alice Springs,AU,54.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
457,Thaton,MM,77.04,light rain,16.9206,97.3714,တိုင်းရင်းဆေး ခရိုင်ဦးစီးဌာနမှူးရုံး
458,Baracoa,CU,79.48,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
460,Kamaishi,JP,72.97,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
461,Sulangan,PH,83.23,overcast clouds,11.1373,123.7228,Maia's Beach Resort
462,Nelspruit,ZA,55.96,broken clouds,-25.4745,30.9703,Leaves Lodge and Spa
463,Sibolga,ID,76.12,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
465,Barcelona,ES,64.54,few clouds,41.3888,2.159,Axel Hotel Barcelona
466,Sri Aman,MY,78.91,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
467,Tipitapa,NI,78.96,broken clouds,12.1973,-86.0971,Hotel Entre Rios
468,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
469,Sao Lourenco Do Sul,BR,63.9,overcast clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
